Id,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,OverallQual,FullBath,GarageCars,TotRmsAbvGrd,MSZoning,Condition2,Neighborhood,ExterQual,PoolQC,RoofMatl,SalePrice
29,1957,1997,1484.0,1600,1600,319.0,5,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,207500.0
30,1927,1950,520.0,520,520,240.0,4,1,1.0,4,RM,RRNn,BrkSide,TA,RM,CompShg,68500.0
31,1920,1950,649.0,649,1317,250.0,4,1,1.0,6,C (all),Norm,IDOTRR,TA,C (all),CompShg,40000.0
32,1966,2006,1228.0,1228,1228,271.0,5,1,1.0,6,RL,Norm,Sawyer,TA,RL,CompShg,149350.0
33,2007,2007,1234.0,1234,1234,484.0,8,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,179900.0
34,1959,1959,1398.0,1700,1700,447.0,5,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,165500.0
35,2005,2005,1561.0,1561,1561,556.0,9,2,2.0,6,RL,Norm,NridgHt,Ex,RL,CompShg,277500.0
36,2004,2005,1117.0,1132,2452,691.0,8,3,3.0,9,RL,Norm,NridgHt,Gd,RL,CompShg,309000.0
37,1994,1995,1097.0,1097,1097,672.0,5,1,2.0,6,RL,Norm,CollgCr,TA,RL,CompShg,145000.0
38,1954,1990,1297.0,1297,1297,498.0,5,1,2.0,5,RL,Norm,NAmes,TA,RL,CompShg,153000.0
39,1953,2007,1057.0,1057,1057,246.0,5,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,109000.0
40,1955,1955,0.0,1152,1152,0.0,4,2,0.0,6,RL,Norm,Edwards,TA,RL,CompShg,82000.0
41,1965,1965,1088.0,1324,1324,440.0,6,2,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,160000.0
42,1959,1959,1350.0,1328,1328,308.0,5,1,1.0,5,RL,Norm,Timber,TA,RL,CompShg,170000.0
43,1983,1983,840.0,884,884,504.0,5,1,2.0,5,RL,Norm,SawyerW,TA,RL,CompShg,144000.0
44,1975,1980,938.0,938,938,308.0,5,1,1.0,5,RL,Norm,CollgCr,TA,RL,CompShg,130250.0
45,1959,1959,1150.0,1150,1150,300.0,5,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,141000.0
46,2005,2005,1752.0,1752,1752,576.0,9,2,2.0,6,RL,Norm,NridgHt,Ex,RL,CompShg,319900.0
47,2003,2003,1434.0,1518,2149,670.0,7,1,2.0,6,RL,Norm,Mitchel,Gd,RL,CompShg,239686.0
48,2006,2006,1656.0,1656,1656,826.0,8,2,3.0,7,FV,Norm,Somerst,Gd,FV,CompShg,249700.0
49,1920,2008,736.0,736,1452,0.0,4,2,0.0,8,RM,Norm,OldTown,TA,RM,CompShg,113000.0
50,1966,1966,955.0,955,955,386.0,5,1,1.0,6,RL,Norm,Sawyer,TA,RL,CompShg,127000.0
51,1997,1997,794.0,794,1470,388.0,6,2,2.0,6,RL,Norm,Gilbert,TA,RL,CompShg,177000.0
52,1934,1950,816.0,816,1176,528.0,6,1,2.0,6,RM,Norm,BrkSide,TA,RM,CompShg,114500.0
53,1963,1963,816.0,816,816,516.0,5,1,2.0,5,RM,Norm,IDOTRR,Fa,RM,CompShg,110000.0
54,1981,1987,1842.0,1842,1842,894.0,9,0,3.0,5,RL,Norm,Veenker,Gd,RL,WdShngl,385000.0
55,1955,1955,384.0,1360,1360,572.0,5,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,130000.0
56,1964,1964,1425.0,1425,1425,576.0,6,2,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,180500.0
57,1999,2000,970.0,983,1739,480.0,8,2,2.0,7,FV,Norm,Somerst,Gd,FV,CompShg,172500.0
58,2004,2004,860.0,860,1720,565.0,7,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,196500.0
59,2006,2006,1410.0,1426,2945,641.0,10,3,3.0,10,RL,Norm,StoneBr,Ex,RL,CompShg,438780.0
60,1972,1972,780.0,780,780,352.0,5,1,1.0,4,RL,Norm,CollgCr,TA,RL,CompShg,124900.0
61,2004,2004,1158.0,1158,1158,576.0,6,1,2.0,5,RL,Norm,SawyerW,TA,RL,CompShg,158000.0
62,1920,1996,530.0,581,1111,288.0,5,1,1.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,101000.0
63,2006,2006,1370.0,1370,1370,484.0,8,2,2.0,6,RL,Norm,NridgHt,Gd,RL,CompShg,202500.0
64,1921,1950,576.0,902,1710,480.0,7,2,2.0,9,RM,Feedr,OldTown,TA,RM,CompShg,140000.0
65,1997,1998,1057.0,1057,2034,645.0,7,2,2.0,8,RL,Norm,CollgCr,TA,RL,CompShg,219500.0
66,2004,2005,1143.0,1143,2473,852.0,8,2,3.0,9,RL,Norm,NridgHt,Gd,RL,CompShg,317000.0
67,1970,1989,1947.0,2207,2207,576.0,7,2,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,180000.0
68,2003,2003,1453.0,1479,1479,558.0,7,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,226000.0
69,1945,1950,747.0,747,747,220.0,4,1,1.0,4,RM,Norm,OldTown,TA,RM,CompShg,80000.0
70,1953,1953,1304.0,1304,2287,667.0,7,2,2.0,7,RL,Norm,ClearCr,Gd,RL,CompShg,225000.0
71,1973,1973,2223.0,2223,2223,516.0,7,2,2.0,8,RL,Norm,NAmes,TA,RL,CompShg,244000.0
72,1982,2006,845.0,845,845,360.0,4,1,2.0,4,RL,Norm,Mitchel,TA,RL,CompShg,129500.0
73,1998,1998,832.0,885,1718,427.0,7,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,185000.0
74,1954,2003,1086.0,1086,1086,490.0,5,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,144900.0
75,1915,1950,840.0,840,1605,379.0,3,2,1.0,8,RM,Norm,OldTown,Gd,RM,CompShg,107400.0
76,1973,1973,462.0,526,988,297.0,4,1,1.0,5,RM,Norm,MeadowV,TA,RM,CompShg,91000.0
77,1956,1956,952.0,952,952,283.0,4,1,1.0,4,RL,Norm,NAmes,TA,RL,CompShg,135750.0
78,1948,2001,672.0,1072,1285,240.0,5,1,1.0,6,RM,Norm,BrkSide,TA,RM,CompShg,127000.0
79,1968,1968,1768.0,1768,1768,0.0,4,2,0.0,8,RL,Norm,Sawyer,TA,RL,CompShg,136500.0
80,1910,1981,440.0,682,1230,440.0,5,1,2.0,5,RM,Norm,OldTown,TA,RM,CompShg,110000.0
81,1968,1968,896.0,1182,2142,509.0,6,2,1.0,8,RL,Norm,NAmes,TA,RL,CompShg,193500.0
82,1998,1998,1237.0,1337,1337,405.0,6,2,2.0,5,RM,Norm,Mitchel,TA,RM,CompShg,153500.0
83,2007,2007,1563.0,1563,1563,758.0,8,2,3.0,6,RL,Norm,Somerst,TA,RL,CompShg,245000.0
84,1960,1960,1065.0,1065,1065,461.0,5,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,126500.0
85,1995,1996,384.0,804,1474,400.0,7,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,168500.0
86,1991,1992,1288.0,1301,2417,462.0,8,2,2.0,9,RL,Norm,NoRidge,Gd,RL,CompShg,260000.0
87,2005,2005,684.0,684,1560,400.0,6,2,2.0,6,RL,Norm,Gilbert,Gd,RL,CompShg,174000.0
88,2009,2009,612.0,612,1224,528.0,6,2,2.0,4,FV,Norm,Somerst,Gd,FV,CompShg,164500.0
89,1915,1982,1013.0,1013,1526,0.0,3,1,0.0,6,C (all),Feedr,IDOTRR,Fa,C (all),CompShg,85000.0
90,1994,1995,990.0,990,990,0.0,4,1,0.0,5,RL,Norm,CollgCr,TA,RL,CompShg,123600.0
91,1950,1950,0.0,1040,1040,420.0,4,1,2.0,4,RL,Norm,NAmes,TA,RL,CompShg,109900.0
92,1961,1961,1235.0,1235,1235,480.0,5,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,98600.0
93,1921,2006,876.0,964,964,432.0,5,1,2.0,5,RL,Norm,Crawfor,TA,RL,CompShg,163500.0
94,1910,1998,1214.0,1260,2291,506.0,6,2,2.0,9,C (all),Norm,OldTown,TA,C (all),CompShg,133900.0
95,1997,1997,824.0,905,1786,684.0,6,2,2.0,7,RL,Norm,CollgCr,TA,RL,CompShg,204750.0
96,1993,1993,680.0,680,1470,420.0,6,2,2.0,6,RL,Norm,Gilbert,Ex,RL,CompShg,185000.0
97,1999,1999,1588.0,1588,1588,472.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,214000.0
98,1965,1965,960.0,960,960,432.0,4,1,1.0,6,RL,Norm,Edwards,TA,RL,CompShg,94750.0
99,1920,1950,458.0,835,835,366.0,5,1,1.0,5,RL,Norm,Edwards,TA,RL,CompShg,83000.0
100,1959,1959,950.0,1225,1225,0.0,4,1,0.0,6,RL,Norm,NAmes,TA,RL,CompShg,128950.0
101,1977,2001,1610.0,1610,1610,480.0,6,2,2.0,6,RL,Norm,NWAmes,TA,RL,CompShg,205000.0
102,1985,1985,741.0,977,1732,476.0,6,2,2.0,7,RL,Norm,SawyerW,Gd,RL,CompShg,178000.0
103,1979,1979,0.0,1535,1535,410.0,5,2,2.0,8,RL,Norm,SawyerW,TA,RL,CompShg,118964.0
104,2009,2009,1226.0,1226,1226,740.0,7,2,3.0,6,RL,Norm,CollgCr,TA,RL,CompShg,198900.0
105,1931,1950,1040.0,1226,1818,240.0,7,1,1.0,7,RM,Norm,IDOTRR,TA,RM,CompShg,169500.0
106,2003,2004,1053.0,1053,1992,648.0,8,2,2.0,9,FV,Norm,Somerst,Gd,FV,CompShg,250000.0
107,1885,1995,641.0,1047,1047,273.0,4,1,1.0,6,RM,Norm,OldTown,TA,RM,CompShg,100000.0
108,1948,1950,789.0,789,789,250.0,5,1,1.0,5,RM,Norm,OldTown,TA,RM,CompShg,115000.0
109,1919,2005,793.0,997,1517,0.0,5,2,0.0,7,RM,Norm,IDOTRR,TA,RM,CompShg,115000.0
110,1977,1977,1844.0,1844,1844,546.0,6,2,2.0,7,RL,Norm,NWAmes,TA,RL,CompShg,190000.0
111,1954,1972,994.0,1216,1855,325.0,6,2,1.0,7,RL,Norm,Edwards,TA,RL,CompShg,136900.0
112,2000,2000,384.0,774,1430,400.0,7,2,2.0,7,RL,Norm,Gilbert,TA,RL,CompShg,180000.0
113,2007,2007,1264.0,1282,2696,792.0,7,2,3.0,10,RL,Norm,CollgCr,Gd,RL,CompShg,383970.0
114,1953,1953,1809.0,2259,2259,450.0,6,2,2.0,7,RL,Norm,Crawfor,TA,RL,CompShg,217000.0
115,1945,2002,1028.0,1436,2320,180.0,6,2,1.0,9,RL,Norm,Crawfor,TA,RL,CompShg,259500.0
116,1999,1999,729.0,729,1458,440.0,6,2,2.0,5,FV,Norm,Somerst,TA,FV,CompShg,176000.0
117,1962,1962,1092.0,1092,1092,288.0,5,1,1.0,6,RL,Norm,Sawyer,TA,RL,CompShg,139000.0
118,2006,2007,1125.0,1125,1125,430.0,5,1,2.0,5,RL,Norm,Edwards,TA,RL,CompShg,155000.0
119,1990,1990,1673.0,1699,3222,594.0,7,3,3.0,11,RL,Norm,SawyerW,TA,RL,CompShg,320000.0
120,2005,2006,728.0,728,1456,390.0,6,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,163990.0
121,1969,1969,938.0,988,988,540.0,6,1,2.0,4,RL,Norm,ClearCr,TA,RL,Metal,180000.0
122,1939,1950,732.0,772,1123,264.0,4,1,1.0,4,RM,Norm,IDOTRR,TA,RM,CompShg,100000.0
123,1958,1958,1080.0,1080,1080,288.0,6,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,136000.0
124,1993,1993,1199.0,1199,1199,530.0,6,2,2.0,5,RL,Norm,SawyerW,Gd,RL,CompShg,153900.0
125,1979,1998,1362.0,1586,1586,435.0,6,2,2.0,7,RL,Norm,NWAmes,TA,RL,CompShg,181000.0
126,1935,1982,520.0,520,754,0.0,6,1,0.0,5,RM,Norm,IDOTRR,TA,RM,CompShg,84500.0
127,1976,1976,1078.0,958,958,440.0,6,2,2.0,5,RL,Norm,NPkVill,TA,RL,CompShg,128000.0
128,1930,1950,672.0,840,840,0.0,5,1,0.0,5,RM,Norm,OldTown,TA,RM,CompShg,87000.0
129,1966,1966,660.0,660,1348,453.0,6,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,155000.0
130,1958,1991,1008.0,1053,1053,750.0,5,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,150000.0
131,1966,1966,924.0,1216,2157,487.0,7,2,2.0,8,RL,Norm,NAmes,TA,RL,CompShg,226000.0
132,2000,2000,992.0,1022,2054,390.0,6,2,2.0,7,RL,Norm,Gilbert,Gd,RL,CompShg,244000.0
133,1959,2002,1063.0,1327,1327,624.0,5,1,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,150750.0
134,2001,2002,1267.0,1296,1296,471.0,8,2,2.0,6,RL,Norm,Timber,Gd,RL,CompShg,220000.0
135,1968,1993,1461.0,1721,1721,440.0,5,2,2.0,7,RL,Norm,Sawyer,TA,RL,CompShg,180000.0
136,1970,1970,1304.0,1682,1682,530.0,7,2,2.0,7,RL,Norm,NWAmes,TA,RL,CompShg,174000.0
137,1967,1967,1214.0,1214,1214,318.0,5,2,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,143000.0
138,1988,1989,1907.0,1959,1959,766.0,7,3,3.0,9,RL,Norm,Mitchel,TA,RL,CompShg,171000.0
139,1999,2000,1004.0,1004,1852,660.0,8,2,3.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,230000.0
140,1997,1997,928.0,928,1764,470.0,6,2,2.0,7,RL,Norm,CollgCr,TA,RL,CompShg,231500.0
141,1971,1971,864.0,864,864,0.0,4,1,0.0,5,RL,Norm,NAmes,TA,RL,CompShg,115000.0
142,2005,2005,1734.0,1734,1734,660.0,7,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,260000.0
143,1952,1952,910.0,910,1385,720.0,5,2,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,166000.0
144,1999,1999,1490.0,1501,1501,577.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,204000.0
145,1963,1963,1728.0,1728,1728,504.0,5,2,2.0,10,RM,Norm,Sawyer,TA,RM,CompShg,125000.0
146,2004,2006,970.0,970,1709,380.0,6,2,2.0,7,RM,Norm,Edwards,Gd,RM,CompShg,130000.0
147,1931,1993,715.0,875,875,180.0,5,1,1.0,5,RM,Norm,BrkSide,TA,RM,CompShg,105000.0
148,2001,2001,884.0,884,2035,434.0,7,2,2.0,8,RL,Norm,Gilbert,Gd,RL,CompShg,222500.0
149,2004,2005,1080.0,1080,1080,0.0,7,1,0.0,6,RL,Norm,SawyerW,TA,RL,CompShg,141000.0
150,1936,1950,896.0,896,1344,240.0,5,1,1.0,7,RM,Norm,BrkSide,TA,RM,CompShg,115000.0
151,1975,1975,969.0,969,969,440.0,5,1,2.0,5,RL,Norm,CollgCr,TA,RL,CompShg,122000.0
152,2007,2008,1710.0,1710,1710,866.0,8,2,3.0,6,RL,Norm,NridgHt,Gd,RL,CompShg,372402.0
153,1971,1971,825.0,1097,1993,495.0,6,2,2.0,8,RL,Norm,NWAmes,TA,RL,CompShg,190000.0
154,1960,1975,1602.0,1252,1252,564.0,6,1,2.0,4,RL,Norm,ClearCr,TA,RL,CompShg,235000.0
155,1923,1950,1200.0,1200,1200,312.0,6,1,1.0,7,RM,Norm,OldTown,TA,RM,CompShg,125000.0
156,1924,1950,572.0,572,1096,0.0,6,1,0.0,5,RL,Norm,Edwards,TA,RL,CompShg,79000.0
157,1950,1950,0.0,1040,1040,625.0,5,1,2.0,5,RL,Norm,NAmes,TA,RL,CompShg,109500.0
158,2009,2010,774.0,774,1968,680.0,8,2,3.0,8,RL,Norm,Timber,Gd,RL,CompShg,269500.0
159,2004,2005,991.0,991,1947,678.0,7,2,2.0,8,FV,Norm,Somerst,Gd,FV,CompShg,254900.0
160,2005,2006,1392.0,1392,2462,576.0,7,2,2.0,9,RL,Norm,Gilbert,Gd,RL,CompShg,320000.0
161,1984,1984,1232.0,1232,1232,516.0,6,2,2.0,6,RL,Norm,Veenker,TA,RL,CompShg,162500.0
162,2003,2004,1572.0,1572,2668,726.0,9,2,3.0,10,RL,Norm,NridgHt,Gd,RL,CompShg,412500.0
163,2005,2005,1541.0,1541,1541,532.0,7,2,2.0,7,RL,Norm,NridgHt,Gd,RL,CompShg,220000.0
164,1956,1956,882.0,882,882,0.0,4,1,0.0,4,RL,Norm,OldTown,TA,RL,CompShg,103200.0
165,1926,2004,1149.0,1149,1616,216.0,6,2,1.0,5,RM,Norm,OldTown,TA,RM,CompShg,152000.0
166,1940,1999,644.0,808,1355,0.0,5,2,0.0,6,RL,Norm,Edwards,TA,RL,CompShg,127500.0
167,1955,1993,1617.0,1867,1867,303.0,5,1,1.0,7,RL,Norm,ClearCr,Gd,RL,CompShg,190000.0
168,2007,2007,1582.0,1610,2161,789.0,8,1,3.0,8,RL,Norm,NridgHt,Gd,RL,CompShg,325624.0
169,2004,2004,840.0,840,1720,440.0,7,2,2.0,7,RL,Norm,Gilbert,Gd,RL,CompShg,183500.0
170,1981,1981,1686.0,1707,1707,511.0,8,2,2.0,6,RL,Norm,Timber,Gd,RL,WdShake,228000.0
171,1941,1950,720.0,854,1382,660.0,5,1,2.0,7,RM,Norm,OldTown,TA,RM,CompShg,128500.0
172,1960,1960,1080.0,1656,1656,528.0,6,1,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,215000.0
173,1987,1987,1064.0,1064,1767,504.0,7,2,2.0,5,RL,Norm,StoneBr,Gd,RL,CompShg,239000.0
174,1961,1961,1362.0,1362,1362,504.0,6,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,163000.0
175,1986,1986,1606.0,1651,1651,616.0,6,2,2.0,7,RL,Norm,Timber,TA,RL,CompShg,184000.0
176,1950,2001,1202.0,2158,2158,576.0,6,2,2.0,7,RL,Norm,Edwards,TA,RL,CompShg,243000.0
177,1988,1989,1151.0,1164,2060,521.0,6,2,2.0,8,RL,Norm,ClearCr,Gd,RL,CompShg,211000.0
178,1958,1958,1052.0,1252,1920,451.0,5,2,2.0,8,RL,Norm,Sawyer,Gd,RL,CompShg,172500.0
179,2008,2009,2216.0,2234,2234,1166.0,9,2,3.0,9,RL,Norm,StoneBr,Ex,RL,CompShg,501837.0
180,1923,2006,968.0,968,968,480.0,5,1,2.0,5,RM,Norm,OldTown,Gd,RM,CompShg,100000.0
181,2000,2000,756.0,769,1525,440.0,6,2,2.0,5,FV,Norm,Somerst,Gd,FV,CompShg,177000.0
182,1920,1950,793.0,901,1802,216.0,7,1,1.0,9,RL,Norm,Crawfor,TA,RL,CompShg,200100.0
183,1957,2006,0.0,1340,1340,252.0,5,1,1.0,7,RL,Norm,Edwards,TA,RL,CompShg,120000.0
184,2003,2003,1362.0,1362,2082,484.0,7,2,2.0,6,RM,Norm,OldTown,TA,RM,CompShg,200000.0
185,1908,1991,504.0,936,1252,576.0,5,1,2.0,5,RL,Feedr,BrkSide,TA,RL,CompShg,127000.0
186,1892,1993,1107.0,1518,3608,840.0,10,2,3.0,12,RM,Norm,OldTown,Gd,RM,WdShngl,475000.0
187,1990,1991,1188.0,1217,1217,497.0,7,2,2.0,6,RL,Norm,Mitchel,TA,RL,CompShg,173000.0
188,1916,1987,660.0,808,1656,180.0,5,2,1.0,8,RL,Norm,OldTown,TA,RL,CompShg,135000.0
189,1979,1979,1086.0,1224,1224,528.0,5,0,2.0,6,RL,Norm,SawyerW,TA,RL,CompShg,153337.0
190,2001,2002,1593.0,1593,1593,682.0,8,1,2.0,5,RL,Norm,StoneBr,Gd,RL,CompShg,286000.0
191,1932,1994,853.0,1549,2727,440.0,8,2,2.0,10,RL,Norm,Crawfor,Gd,RL,CompShg,315000.0
192,1972,2004,725.0,725,1479,484.0,7,1,2.0,7,RL,Norm,NAmes,TA,RL,CompShg,184000.0
193,1999,1999,1431.0,1431,1431,666.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,192000.0
194,2004,2004,970.0,970,1709,380.0,7,2,2.0,7,RM,Norm,Edwards,Gd,RM,CompShg,130000.0
195,1972,1972,864.0,864,864,352.0,5,1,1.0,5,RL,Norm,CollgCr,TA,RL,CompShg,127000.0
196,1976,1976,855.0,855,1456,440.0,6,2,2.0,7,RL,Norm,NPkVill,TA,RL,CompShg,148500.0
197,2007,2007,1726.0,1726,1726,786.0,7,2,3.0,8,RL,Norm,Somerst,Ex,RL,CompShg,311872.0
198,1918,1990,1360.0,1360,3112,795.0,8,2,2.0,8,RL,Norm,NAmes,Gd,RL,CompShg,235000.0
199,1912,1950,755.0,929,2229,0.0,6,1,0.0,8,RM,Norm,OldTown,TA,RM,CompShg,104000.0
200,2004,2005,1713.0,1713,1713,856.0,8,2,3.0,7,RL,Norm,NridgHt,Gd,RL,CompShg,274900.0
201,2003,2004,1121.0,1121,1121,440.0,4,2,2.0,5,RM,Norm,Edwards,TA,RM,CompShg,140000.0
202,1977,1977,1196.0,1279,1279,473.0,6,2,2.0,6,RL,Norm,Mitchel,TA,RL,CompShg,171500.0
203,1924,1950,617.0,865,1310,398.0,6,2,1.0,6,RL,Norm,OldTown,TA,RL,CompShg,112000.0
204,2004,2004,848.0,848,848,420.0,6,1,2.0,3,RM,Norm,CollgCr,Gd,RM,CompShg,149000.0
205,1947,1950,720.0,720,1284,240.0,5,1,1.0,5,RM,Norm,OldTown,TA,RM,CompShg,110000.0
206,1990,1990,1424.0,1442,1442,500.0,7,2,2.0,5,RL,Norm,Gilbert,TA,RL,CompShg,180500.0
207,1962,1962,1140.0,1696,1696,349.0,5,1,1.0,8,RL,Norm,Sawyer,TA,RL,CompShg,143900.0
208,1960,1960,1100.0,1100,1100,312.0,4,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,141000.0
209,1988,1989,1157.0,1180,2062,454.0,7,2,2.0,7,RL,Norm,SawyerW,Gd,RL,CompShg,277000.0
210,1964,1964,1092.0,1092,1092,504.0,6,1,2.0,6,RL,Norm,NAmes,TA,RL,CompShg,145000.0
211,1925,1950,864.0,864,864,0.0,5,1,0.0,5,RL,Norm,Edwards,TA,RL,CompShg,98000.0
212,2009,2009,1212.0,1212,1212,460.0,6,2,2.0,6,RL,Norm,Edwards,TA,RL,CompShg,186000.0
213,2009,2009,900.0,932,1852,644.0,7,2,2.0,7,FV,Norm,Somerst,TA,FV,CompShg,252678.0
214,1995,1995,990.0,990,990,576.0,5,1,2.0,5,RL,Norm,CollgCr,TA,RL,CompShg,156000.0
215,1977,1977,689.0,689,1392,299.0,6,1,1.0,6,RL,Norm,CollgCr,TA,RL,CompShg,161750.0
216,1957,1996,1070.0,1236,1236,447.0,5,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,134450.0
217,2004,2004,1436.0,1436,1436,484.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,210000.0
218,1925,1950,686.0,810,1328,210.0,4,1,1.0,8,RM,Norm,OldTown,TA,RM,CompShg,107000.0
219,1939,2006,798.0,1137,1954,431.0,7,1,2.0,8,RL,Norm,Crawfor,Gd,RL,CompShg,311500.0
220,2005,2006,1248.0,1248,1248,438.0,7,2,2.0,5,RL,Norm,Blmngtn,Gd,RL,CompShg,167240.0
221,2006,2006,1498.0,1498,1498,675.0,7,2,2.0,5,RL,Norm,CollgCr,Gd,RL,CompShg,204900.0
222,2002,2002,1010.0,1010,2267,390.0,6,2,2.0,8,RL,Norm,Gilbert,Gd,RL,CompShg,200000.0
223,1975,1975,713.0,811,1552,434.0,6,2,2.0,6,RL,Norm,NWAmes,TA,RL,CompShg,179900.0
224,1971,1971,864.0,864,864,576.0,4,1,2.0,4,RL,Norm,NAmes,TA,RL,CompShg,97000.0
225,2003,2003,2392.0,2392,2392,968.0,10,2,3.0,8,RL,Norm,NridgHt,Ex,RL,CompShg,386250.0
